Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TCmp,TAtt,TCmp%,TotDist,PrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
1,Max Aarons,eng ENG,DF,Bournemouth,Premier League,23,2000,13.7,450,581,77.5,7402,2789,220,248,88.7,188,235,80.0,34,63,54.0,1,0.8,0.9,+0.2,7,25,13,2,43,Matches,774cf58b
2,Brenden Aaronson,us USA,MFFW,Union Berlin,Bundesliga,22,2000,14.1,365,472,77.3,4890,1506,206,240,85.8,105,130,80.8,19,32,59.4,2,1.9,2.0,+0.1,22,30,14,3,56,Matches,5bc43860
3,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,Bundesliga,19,2003,1.1,41,50,82.0,576,71,20,25,80.0,20,22,90.9,0,2,0.0,1,0.1,0.1,+0.9,1,4,2,0,5,Matches,4cd41883
4,Keyliane Abdallah,fr FRA,FW,Marseille,Ligue 1,17,2006,0.0,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,7310786d
5,Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,35,1987,30.9,1552,1836,84.5,29618,9672,487,548,88.9,893,976,91.5,141,252,56.0,0,0.3,0.6,-0.3,8,129,3,0,137,Matches,32c2d95f
6,Salis Abdul Samed,gh GHA,MF,Lens,Ligue 1,23,2000,16.9,796,895,88.9,12470,3008,393,433,90.8,330,360,91.7,41,54,75.9,0,0.5,1.1,-0.5,6,87,5,2,78,Matches,82464ce3
7,Nabil Aberdin,fr FRA,DF,Getafe,La Liga,20,2002,2.0,60,79,75.9,1159,426,22,26,84.6,29,34,85.3,7,17,41.2,0,0.0,0.0,0.0,0,4,0,0,7,Matches,cadfa7d1
8,Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,30,1993,31.8,1551,1836,84.5,27382,8613,629,707,89.0,711,802,88.7,150,233,64.4,1,2.1,1.9,-1.1,30,188,23,3,194,Matches,31626657
9,Matthis Abline,fr FRA,FW,Nantes,Ligue 1,20,2003,11.6,162,231,70.1,2410,448,91,128,71.1,52,68,76.5,9,11,81.8,0,2.0,0.9,-2.0,17,6,7,2,20,Matches,0e46fa2f
10,Abner,br BRA,DF,Real Betis,La Liga,23,2000,15.6,615,797,77.2,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,1,1.0,1.0,0.0,8,20,7,2,33,Matches,7f9c5d2d
11,Zakaria Aboukhlal,ma MAR,MFFW,Toulouse,Ligue 1,23,2000,8.4,140,196,71.4,2025,599,70,95,73.7,53,66,80.3,6,8,75.0,0,0.2,1.1,-0.2,5,10,9,1,20,Matches,c2a6033c
12,Abdel Abqar,ma MAR,DF,Alaves,La Liga,24,1999,25.7,553,762,72.6,12370,4872,141,164,86.0,302,339,89.1,99,225,44.0,0,0.2,0.2,-0.2,3,61,2,0,49,Matches,2bc7f211
13,Tammy Abraham,eng ENG,FW,Roma,Serie A,25,1997,2.7,19,40,47.5,231,75,14,25,56.0,4,9,44.4,0,1,0.0,0,0.1,0.0,-0.1,3,1,1,0,4,Matches,f586779e
14,Francesco Acerbi,it ITA,DF,Inter,Serie A,35,1988,26.5,1615,1781,90.7,29326,9174,601,650,92.5,856,908,94.3,132,179,73.7,1,1.8,1.3,-0.8,7,58,5,2,87,Matches,b96b595c
15,Joshua Acheampong,eng ENG,DF,Chelsea,Premier League,17,2006,0.1,1,2,50.0,18,7,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,b7e62e1d
16,Marcos Acuña,ar ARG,DF,Sevilla,La Liga,31,1991,14.4,628,847,74.1,12126,4928,260,297,87.5,262,328,79.9,94,183,51.4,2,1.5,2.1,+0.5,23,52,19,12,59,Matches,81442ecb
17,Akor Adams,ng NGA,FW,Montpellier,Ligue 1,23,2000,25.0,250,385,64.9,3676,786,125,185,67.6,89,126,70.6,14,29,48.3,1,1.9,1.4,-0.9,17,14,4,2,17,Matches,2ccd39ed
18,Tyler Adams,us USA,MF,Bournemouth,Premier League,24,1999,1.3,59,71,83.1,973,262,35,39,89.7,18,24,75.0,6,8,75.0,0,0.1,0.0,-0.1,1,9,0,0,5,Matches,2b09d998
19,Junior Adamu,at AUT,FWMF,Freiburg,Bundesliga,22,2001,1.2,18,30,60.0,181,36,15,17,88.2,1,9,11.1,0,1,0.0,0,0.1,0.0,-0.1,1,0,1,0,1,Matches,82e12fe7
20,Sargis Adamyan,am ARM,FWMF,FC Cologne,Bundesliga,30,1993,8.9,132,189,69.8,1883,483,73,94,77.7,44,64,68.8,5,9,55.6,2,2.0,1.1,0.0,12,16,3,0,18,Matches,22919e97
21,Tosin Adarabioyo,eng ENG,DF,Fulham,Premier League,25,1997,18.0,1028,1216,84.5,21010,7956,277,307,90.2,627,699,89.7,115,177,65.0,0,0.1,0.3,-0.1,2,47,2,0,62,Matches,c81d773d
22,Elijah Adebayo,eng ENG,FW,Luton Town,Premier League,25,1998,15.8,144,204,70.6,1847,385,94,122,77.0,41,60,68.3,3,6,50.0,0,0.7,0.4,-0.7,14,9,4,0,23,Matches,0480ebc7
23,Karim Adeyemi,de GER,FWMF,Borussia Dortmund,Bundesliga,21,2002,10.1,218,299,72.9,2929,719,135,162,83.3,61,83,73.5,8,18,44.4,1,2.0,1.6,-1.0,9,9,10,1,26,Matches,501055d8
24,Simon Adingra,ci CIV,FW,Brighton,Premier League,21,2002,24.7,634,840,75.5,8828,1713,412,491,83.9,185,245,75.5,20,38,52.6,1,3.7,3.5,-2.7,33,17,33,11,50,Matches,4dcec659
25,Nathaniel Adjei,gh GHA,DF,Lorient,Ligue 1,20,2002,13.8,578,669,86.4,10635,4097,216,246,87.8,294,323,91.0,52,73,71.2,0,0.1,0.5,-0.1,3,38,1,0,34,Matches,c55de1f5
26,Amine Adli,ma MAR,MFFW,Bayer Leverkusen,Bundesliga,23,2000,10.0,367,459,80.0,4683,1110,252,291,86.6,91,110,82.7,7,18,38.9,6,2.3,2.9,+3.7,21,19,18,3,39,Matches,dcfb17f4
27,Yacine Adli,fr FRA,MF,AC Milan,Serie A,23,2000,15.6,1125,1300,86.5,20142,6752,489,534,91.6,487,534,91.2,120,177,67.8,2,2.2,2.0,-0.2,22,149,16,6,125,Matches,26777636
28,Adryelson,br BRA,DFFW,Lyon,Ligue 1,25,1998,0.1,5,5,100.0,75,28,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,e980e78d
29,Adson,br BRA,MFFW,Nantes,Ligue 1,22,2000,2.6,115,130,88.5,1750,378,61,64,95.3,40,46,87.0,8,10,80.0,0,0.1,0.3,-0.1,3,11,4,0,15,Matches,eda38706
30,Michel Aebischer,ch SUI,MF,Bologna,Serie A,26,1997,24.8,1370,1503,91.2,21535,5798,729,773,94.3,525,562,93.4,79,103,76.7,1,1.5,1.0,-0.5,17,117,9,1,125,Matches,f9c927de
31,Emmanuel Agbadou,ci CIV,DF,Reims,Ligue 1,26,1997,28.8,1599,1838,87.0,32774,10984,476,525,90.7,855,926,92.3,240,343,70.0,1,1.5,1.6,-0.5,12,172,5,1,179,Matches,75f1ed80
32,Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,22,2000,2.6,67,100,67.0,1906,1648,19,19,100.0,27,27,100.0,21,53,39.6,0,0.0,0.0,0.0,0,2,0,0,0,Matches,a2c1a8d3
33,Lucien Agoume,fr FRA,MF,Inter,Serie A,21,2002,0.1,5,5,100.0,75,7,3,3,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,8bc8829a
34,Lucien Agoume,fr FRA,MF,Sevilla,La Liga,21,2002,8.6,301,360,83.6,5285,1424,141,163,86.5,120,135,88.9,31,42,73.8,0,0.6,0.3,-0.6,9,36,5,1,35,Matches,8bc8829a
35,Felix Agu,ng NGA,DFMF,Werder Bremen,Bundesliga,23,1999,17.9,488,669,72.9,7657,2921,246,292,84.2,203,253,80.2,27,67,40.3,0,0.6,1.4,-0.6,7,18,16,7,32,Matches,cb6d81b3
36,Nayef Aguerd,ma MAR,DF,West Ham,Premier League,27,1996,20.6,943,1177,80.1,19870,8804,335,360,93.1,452,493,91.7,143,297,48.1,0,0.3,0.4,-0.3,4,74,2,0,68,Matches,288e1e13
37,Ruben Aguilar,fr FRA,DF,Lens,Ligue 1,30,1993,21.4,1044,1282,81.4,15383,5987,594,666,89.2,369,443,83.3,44,93,47.3,3,2.9,4.0,+0.1,26,73,42,14,110,Matches,3dd738a1
38,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,4,8,50.0,48,23,3,6,50.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches,938fa024
39,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,Premier League,21,2002,3.9,150,187,80.2,2455,628,76,89,85.4,59,69,85.5,10,14,71.4,0,0.0,0.1,0.0,1,12,0,0,25,Matches,a6c58494
40,Anel Ahmedhodžić,ba BIH,DF,Sheffield United,Premier League,24,1999,29.4,749,993,75.4,12780,5078,334,386,86.5,348,425,81.9,54,137,39.4,0,0.8,0.6,-0.8,7,41,3,1,43,Matches,eab957a3
41,Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,27,1995,4.5,145,185,78.4,2918,1187,41,46,89.1,84,102,82.4,19,35,54.3,0,0.1,0.0,-0.1,1,8,1,0,12,Matches,18abe173
